income_group,trend_coef,p_value,pct_change_per_year,n_obs
High income,-0.0052352660847767565,2.6645352591003757e-15,-2.218549353262286,1500
Low income,0.0006598353507452846,0.12549208501563647,0.7541688819171648,622
Lower middle income,-0.0014294627599556826,0.31439284823462543,-0.8754615975031749,1151
Upper middle income,-0.005904553204479431,9.923161574398875e-05,-2.0033926344289372,1230
