,coef,std_err,t_stat,p_value
const,0.4449776462240174,0.0908068607203883,4.900264613201295,1.024787521286541e-06
log_gdp_pc_lag1,-0.051093518959605365,0.009828147667755848,-5.1986926414661845,2.1867362920424682e-07
gcf_pct_gdp_lag1,0.0007708638691238471,0.0002519910313588003,3.0590924802646797,0.0022460756003204185
secondary_enroll_lag1,0.00035657516760343117,0.00014924893905967154,2.3891303338569667,0.016969656634991948
trade_pct_gdp_lag1,0.00025225623995611804,0.00010541907293015089,2.3928899481335724,0.01679721688532254
rule_of_law_lag1,-0.001655564516703977,0.005447029934520769,-0.3039389422503025,0.7612023145106779
