iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
SEN,24,30,30,26,30,29,22,29,30,30,29,30,30,30,5,26,30,29,24,17,28,30,30,0,29,26,30,5,26,27,3,26,22,23,30,30,30,26
SGP,24,30,30,26,30,29,22,29,30,30,22,30,30,30,0,26,30,30,24,18,30,30,30,27,29,26,30,0,26,27,27,26,8,11,30,30,30,26
SLB,24,30,30,26,30,25,23,4,30,30,4,30,30,30,2,21,30,30,24,4,27,30,30,0,29,26,30,2,21,28,0,26,10,0,30,30,30,26
SLE,24,30,30,26,30,24,23,0,30,30,0,30,30,30,3,26,30,30,24,5,22,30,30,0,29,26,30,3,26,28,0,26,12,3,30,30,30,26
SLV,24,30,30,26,30,29,22,29,29,30,29,30,30,30,27,26,30,30,24,18,30,29,30,8,29,26,30,27,26,27,18,26,27,29,30,30,30,26
SMR,24,0,0,10,30,29,0,0,3,30,0,9,26,27,0,10,9,7,24,0,0,23,30,9,29,22,30,0,10,0,0,26,15,12,9,0,30,26
SOM,24,30,30,26,30,24,23,0,30,30,0,13,30,30,0,26,13,0,11,0,0,27,30,0,29,26,30,0,26,28,0,26,2,0,13,30,30,26
SRB,24,0,0,26,30,29,23,29,18,30,29,30,29,30,21,26,30,18,24,1,18,21,30,18,29,26,30,21,26,27,28,26,24,24,30,30,30,26
SSD,24,0,0,15,30,17,10,12,4,30,12,8,7,0,2,14,8,2,7,0,10,8,29,0,29,14,30,2,14,10,0,14,3,0,8,29,30,14
STP,24,30,30,26,30,24,23,4,30,30,4,17,30,30,3,26,17,17,24,13,28,27,30,0,29,26,30,3,26,28,0,26,14,5,17,30,30,26
SUR,24,30,30,26,30,25,22,24,30,30,23,5,30,30,2,26,5,5,24,15,14,26,30,0,29,26,30,2,26,22,0,26,20,7,5,30,30,26
SVK,24,30,30,26,30,29,23,30,30,30,30,30,30,30,21,26,30,30,24,18,26,30,30,27,29,26,30,21,26,27,28,26,24,24,30,30,30,26
SVN,24,30,30,26,30,29,23,30,30,30,30,30,30,30,25,26,30,30,25,18,30,30,30,20,29,26,30,25,26,27,28,26,23,23,30,30,30,26
SWE,24,30,30,26,30,29,23,30,30,30,30,30,30,30,25,26,30,30,25,18,30,30,30,27,29,26,30,25,26,27,24,26,24,24,30,30,30,26
SWZ,24,30,30,26,30,24,23,29,30,30,29,12,30,30,3,26,12,12,24,16,30,30,30,0,29,26,30,3,26,28,1,26,20,9,12,30,30,26
SXM,0,0,0,0,30,29,11,0,14,30,0,0,15,16,0,0,0,0,0,0,13,0,30,0,0,0,30,0,0,11,0,0,2,6,0,0,30,0
SYC,24,30,30,26,30,29,23,4,30,30,4,30,30,30,4,26,30,30,24,12,30,28,30,1,29,26,30,4,26,28,6,26,29,14,30,0,30,26
SYR,24,30,30,26,30,24,0,29,17,30,29,0,28,28,5,26,28,16,24,3,8,24,30,18,29,26,30,5,26,27,2,26,24,16,28,30,30,26
TCA,0,30,30,0,30,29,12,0,11,30,0,0,17,18,0,0,0,0,0,2,0,0,30,0,0,0,30,0,0,28,0,0,17,10,0,0,30,0
TCD,24,30,30,26,30,27,23,29,30,30,29,30,30,30,4,26,30,0,24,0,0,28,30,0,29,26,30,4,26,28,1,26,28,15,30,30,30,26
TGO,24,30,30,26,30,26,22,29,30,30,29,29,30,30,5,26,29,26,24,17,25,30,30,0,29,26,30,5,26,27,4,26,16,16,29,30,30,26
THA,24,30,30,26,30,24,22,29,30,30,29,30,30,30,25,26,30,30,24,18,30,30,30,27,29,26,30,25,26,27,25,26,27,30,30,30,30,26
TJK,24,30,30,26,30,25,22,29,30,30,29,30,30,30,10,26,30,23,24,8,23,26,30,18,29,26,30,10,26,27,20,26,21,25,30,30,30,26
TKM,24,30,30,26,30,24,22,29,30,30,9,14,30,30,1,26,29,0,24,0,0,18,30,4,29,26,30,1,26,27,9,26,6,7,30,30,30,26
TLS,24,30,30,23,30,24,21,4,21,30,4,25,30,30,3,23,25,19,21,4,19,18,30,0,29,24,30,3,23,21,0,24,18,4,25,30,30,26
TON,24,30,30,21,30,29,23,4,30,30,4,30,30,29,4,21,30,24,24,14,22,30,30,0,29,22,30,4,21,28,0,26,23,7,30,30,30,26
TTO,24,30,30,26,30,24,22,29,30,30,20,24,30,30,0,26,24,0,24,18,29,30,30,16,29,26,30,0,26,27,27,26,3,7,0,30,30,26
TUN,24,30,30,26,30,29,23,29,30,30,29,30,30,30,6,26,30,30,24,16,30,28,30,24,29,26,30,6,26,27,18,26,21,29,30,30,30,26
TUR,24,30,30,26,30,24,23,30,30,30,30,30,30,30,22,26,30,30,24,18,22,30,30,27,29,26,30,22,26,27,28,26,27,27,30,30,30,26
TUV,24,30,30,21,30,24,23,0,23,30,0,0,29,29,1,21,0,0,24,0,22,18,30,0,29,22,30,1,21,28,0,26,12,1,0,0,30,26
TZA,24,30,30,26,30,29,22,29,30,30,29,30,30,30,4,26,30,30,24,17,30,29,30,1,29,26,30,4,26,27,3,26,13,25,30,30,30,26
UGA,24,30,30,26,30,29,23,29,30,30,29,30,30,30,8,26,30,30,24,17,26,30,30,14,29,26,30,8,26,28,11,26,4,15,30,30,30,26
UKR,24,30,30,26,30,29,22,29,30,30,29,30,30,30,22,26,30,30,22,14,30,30,30,27,29,26,30,22,26,27,28,26,25,28,30,27,30,26
URY,24,30,30,26,30,29,22,29,30,30,29,30,30,30,29,26,30,30,24,18,30,30,30,21,29,26,30,29,26,27,25,26,28,27,30,30,30,26
USA,24,30,30,26,30,29,23,30,30,30,30,30,30,30,30,26,30,30,24,18,30,30,30,27,29,26,30,30,26,27,28,26,15,15,30,30,30,26
UZB,24,30,30,26,30,28,22,29,30,30,9,30,30,30,8,26,30,20,24,8,20,30,30,27,29,26,30,8,26,27,25,26,25,26,28,30,30,26
VCT,24,30,30,21,30,29,23,4,30,30,4,0,30,30,0,21,0,0,24,15,30,30,30,0,29,26,30,0,21,28,2,26,20,13,0,30,30,26
VEN,24,30,30,26,30,29,22,29,30,30,29,30,30,0,9,26,30,22,6,0,22,28,30,19,29,26,30,9,26,27,10,26,22,6,30,30,30,26
VGB,0,30,30,0,30,29,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,30,0,0,28,0,0,25,15,0,0,30,0
VIR,0,30,30,21,30,29,0,0,0,30,0,0,20,21,0,21,0,0,0,0,0,23,30,0,29,21,30,0,21,28,6,21,2,0,21,30,30,14
VNM,24,30,30,26,30,27,22,29,30,30,29,30,30,30,12,26,30,29,24,16,0,29,30,27,29,26,30,12,26,27,8,26,9,27,30,30,30,26
VUT,24,30,30,26,30,29,23,4,30,30,4,30,30,30,2,21,30,28,24,0,27,20,30,0,29,26,30,2,21,28,0,26,12,6,30,30,30,26
WSM,24,30,30,26,30,29,23,4,30,30,4,16,30,30,3,26,16,16,24,15,21,18,30,5,29,26,30,3,26,28,0,26,20,11,23,30,30,26
XKX,0,0,0,24,30,5,0,15,17,30,15,17,16,17,17,19,17,17,0,0,16,2,30,0,0,23,30,17,17,0,0,24,0,0,17,0,30,26
YEM,24,30,30,26,30,29,22,29,24,30,29,24,24,0,3,26,24,12,24,7,12,22,30,21,29,26,30,3,26,27,0,26,11,12,24,30,30,26
ZAF,24,30,30,26,30,28,22,29,30,30,29,30,30,30,6,26,30,30,24,18,30,30,30,27,29,26,30,6,26,27,22,26,25,12,30,30,30,26
ZMB,24,30,30,26,30,29,22,29,30,30,29,15,30,30,8,26,15,15,24,17,28,30,30,24,29,26,30,8,26,27,7,26,1,4,30,30,30,26
ZWE,24,30,30,26,30,29,22,29,30,30,29,30,30,30,3,26,30,16,14,17,16,30,30,4,29,26,30,3,26,27,0,26,10,6,30,30,30,26
