iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
ERI,24,30,30,26,30,29,22,29,16,30,29,17,17,0,0,26,17,6,24,0,3,22,30,0,29,26,30,0,26,27,0,26,23,13,17,30,30,26
ESP,24,30,30,26,30,29,23,30,30,30,30,30,30,30,27,26,30,30,24,18,16,30,30,27,29,26,30,27,26,27,28,26,24,24,30,30,30,26
EST,24,30,30,26,30,29,23,30,30,30,30,30,30,30,26,26,30,30,25,18,25,30,30,27,29,26,30,26,26,27,26,26,24,24,30,30,30,26
ETH,24,30,30,26,30,24,22,29,30,30,29,30,30,30,6,26,14,14,24,16,30,30,30,16,29,26,30,6,26,27,5,26,17,17,14,30,30,26
FIN,24,30,30,26,30,29,23,30,30,30,30,30,30,30,23,26,30,30,24,18,30,30,30,27,29,26,30,23,26,27,28,26,24,24,30,30,30,26
FJI,24,30,30,26,30,28,23,4,30,30,4,30,30,30,4,26,30,30,24,17,30,30,30,0,29,26,30,4,26,28,0,26,23,14,30,30,30,26
FRA,24,30,30,26,30,29,23,30,30,30,30,30,30,30,28,26,30,30,25,18,30,30,30,27,29,26,30,28,26,27,28,26,24,24,30,30,30,26
FRO,0,30,30,0,30,29,0,0,0,30,0,27,16,17,0,0,0,14,0,3,14,23,30,0,0,0,30,0,0,28,1,0,0,0,30,0,30,0
FSM,24,30,30,21,30,24,23,0,1,30,0,0,30,30,2,21,0,0,24,0,6,28,30,0,29,22,30,2,21,28,0,26,2,2,30,0,30,26
GAB,24,30,30,26,30,24,22,29,30,30,29,30,30,30,2,26,30,20,24,14,20,29,30,0,29,26,30,2,26,27,3,26,7,3,30,30,30,26
GBR,24,30,30,26,30,29,23,30,30,30,30,30,30,30,27,26,30,30,25,18,30,30,30,27,29,26,30,27,26,27,28,26,23,24,30,30,30,26
GEO,24,30,30,26,30,24,23,29,28,30,29,30,30,30,29,26,30,28,24,16,28,30,30,27,29,26,30,29,26,27,22,26,26,28,30,30,30,26
GHA,24,30,30,26,30,29,22,29,30,30,29,30,30,30,4,26,30,30,24,13,7,30,30,4,29,26,30,4,26,27,2,26,25,19,30,30,30,26
GIB,0,30,30,0,30,29,0,29,0,30,14,0,0,0,0,0,0,0,0,0,0,17,30,0,0,0,30,0,0,27,0,0,13,0,0,0,30,0
GIN,24,30,30,26,30,25,23,0,29,30,0,30,30,30,4,26,30,30,24,4,29,30,30,0,29,26,30,4,26,28,0,26,12,15,30,30,30,26
GMB,24,30,30,26,30,29,23,4,30,30,4,30,30,30,5,26,30,25,24,14,24,30,30,0,29,26,30,5,26,28,4,26,6,7,30,30,30,26
GNB,24,30,30,26,30,22,23,4,30,30,4,30,30,30,4,26,30,27,24,1,23,28,30,0,29,26,30,4,26,28,0,26,3,2,30,30,30,26
GNQ,24,30,30,26,30,24,23,29,30,30,29,20,30,30,1,26,20,0,24,0,0,28,30,0,29,26,30,1,26,28,0,26,5,1,20,30,30,26
GRC,24,30,30,26,30,29,23,30,30,30,30,30,30,30,24,26,30,29,24,18,26,30,30,27,29,26,30,24,26,27,24,26,22,21,30,30,30,26
GRD,24,30,30,26,30,26,23,4,30,30,4,0,30,30,1,26,0,0,24,15,30,30,30,0,29,26,30,1,26,28,0,26,18,5,0,0,30,26
GRL,0,30,30,16,30,29,0,0,0,30,0,21,29,29,0,16,21,0,0,12,0,23,30,0,29,16,30,0,16,28,4,16,0,0,21,0,30,16
GTM,24,30,30,26,30,29,22,29,30,30,29,30,30,30,5,26,30,30,24,18,30,30,30,27,29,26,30,5,26,27,19,26,29,12,30,30,30,26
GUM,0,30,30,21,30,29,0,0,0,30,0,0,20,0,0,21,0,0,0,0,0,23,30,0,29,21,30,0,21,28,3,21,0,0,21,30,30,21
GUY,24,30,30,26,30,29,23,4,30,30,4,11,30,30,1,26,11,11,24,18,25,29,30,4,29,26,30,1,26,28,0,26,14,15,11,30,30,26
HKG,0,30,30,26,30,29,22,29,30,30,29,30,30,30,0,26,30,27,0,18,26,30,30,27,0,26,30,0,26,27,27,26,23,22,30,30,30,26
HND,24,30,30,26,30,29,22,29,30,30,29,30,30,30,26,26,30,30,24,15,30,30,30,14,29,26,30,26,26,27,9,26,17,19,30,30,30,26
HRV,24,30,30,26,30,29,23,29,30,30,29,30,30,30,21,26,30,26,24,18,30,30,30,27,29,26,30,21,26,27,25,26,22,23,30,30,30,26
HTI,24,30,30,26,30,29,22,29,30,30,29,30,30,30,2,26,25,30,24,0,28,28,30,5,29,26,30,2,26,27,0,26,0,0,30,30,30,26
HUN,24,30,30,26,30,29,23,30,30,30,30,30,30,30,20,26,30,30,24,18,30,30,30,27,29,26,30,20,26,27,28,26,24,24,30,30,30,26
IDN,24,30,30,26,30,29,22,29,30,30,29,30,30,30,28,26,30,30,24,15,30,30,30,26,29,26,30,28,26,27,9,26,30,29,30,30,30,26
IMN,0,0,0,0,30,29,0,0,0,30,0,0,29,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,21,0,0,0,0,0,0,30,0
IND,24,30,30,26,30,29,22,29,30,30,29,30,30,30,4,26,30,30,24,16,25,30,30,27,29,26,30,4,26,27,25,26,29,28,30,30,30,26
IRL,24,30,30,26,30,29,23,30,30,30,30,30,30,30,25,26,30,20,25,18,20,30,30,6,29,26,30,25,26,27,28,26,21,22,30,30,30,26
IRN,24,30,30,26,30,24,22,29,30,30,29,30,30,30,17,26,30,6,24,11,0,30,30,26,29,26,30,17,26,27,15,26,24,26,30,30,30,26
IRQ,24,30,30,26,30,24,22,29,28,30,19,30,30,30,3,26,30,20,21,0,19,24,30,7,29,26,30,3,26,27,13,26,7,5,30,30,30,26
ISL,24,30,30,26,30,29,23,30,30,30,30,30,30,30,17,26,30,30,25,18,16,30,30,27,29,26,30,17,26,27,24,26,28,29,30,30,30,26
ISR,24,30,30,26,30,29,23,30,30,30,27,30,30,30,23,26,30,30,24,18,30,30,30,27,29,26,30,23,26,27,28,26,24,24,30,30,30,26
ITA,24,30,30,26,30,29,23,30,30,30,30,30,30,30,25,26,30,30,25,18,30,30,30,17,29,26,30,25,26,27,28,26,23,23,30,30,30,26
