region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
FRANCE:_TOTAL_POPULATION,France: Total population,1834,35.09,202.94,10.7,0.2567,4.86,35.09,75.7,84.86,40.61,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1835,39.52,168.74,10.95,0.2996999999999999,4.95,39.52,75.95,84.95,36.43,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1837,39.42,164.78,9.88,0.2907,4.34,39.42,74.88,84.34,35.459999999999994,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1838,39.37,167.14,10.8,0.3028,4.86,39.37,75.8,84.86,36.43,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1849,35.95,171.4,10.28,0.2433,4.46,35.95,75.28,84.46,39.33,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1854,36.16,173.67,9.88,0.2445,4.31,36.16,74.88,84.31,38.72,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1855,37.56,162.78,10.13,0.2738,4.2,37.56,75.13,84.2,37.56999999999999,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1857,39.6,180.17,10.83,0.3095,4.59,39.6,75.83,84.59,36.23,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1858,39.71,174.85,10.41,0.3064,4.38,39.71,75.41,84.38,35.699999999999996,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1859,35.33,210.03,10.53,0.2664,4.4,35.33,75.53,84.4,40.2,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1870,36.52,186.2,9.81,0.2571,4.02,36.52,74.81,84.02,38.29,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1871,29.74,200.37,9.65,0.1684,3.98,29.74,74.65,83.98,44.91000000000001,1850_1899,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1914,38.23,114.33,10.94,0.2457,4.47,38.23,75.94,84.47,37.71,1900_1949,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1915,36.55,109.93,11.0,0.2202,4.59,36.55,76.0,84.59,39.45,1900_1949,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1916,39.75,129.97,11.16,0.2737,4.55,39.75,76.16,84.55,36.41,1900_1949,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1918,34.84,153.31,11.06,0.2103,4.6,34.84,76.06,84.6,41.22,1900_1949,True,True,France,both,True
ISL,Iceland,1838,32.54,308.02,9.79,0.2012999999999999,4.7,32.54,74.78999999999999,84.7,42.24999999999999,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1839,28.07,316.38,9.64,0.1572,4.99,28.07,74.64,84.99,46.57,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1840,32.08,300.34,11.4,0.2241,5.94,32.08,76.4,85.94,44.32000000000001,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1843,25.5,356.04,5.23,0.0507,2.41,25.5,70.23,82.41,44.730000000000004,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1846,18.68,534.11,5.58,0.0527,2.58,18.68,70.58,82.58,51.9,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1847,33.41,364.93,15.21,0.2425,10.8,33.41,80.21000000000001,90.8,46.80000000000001,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1849,37.34,250.1,15.62,0.3162,8.77,37.34,80.62,88.77,43.28,pre_1850,True,True,Iceland,both,True
ISL,Iceland,1850,36.74,253.49,15.45,0.3182999999999999,8.45,36.74,80.45,88.45,43.71,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1851,30.14,248.75,11.55,0.2203,6.3,30.14,76.55,86.3,46.41,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1855,38.24,248.96,8.39,0.2364,4.31,38.24,73.39,84.31,35.15,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1857,39.52,225.35,13.32,0.3309,7.63,39.52,78.32,87.63,38.79999999999999,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1858,34.88,225.47,11.93,0.2415,6.28,34.88,76.93,86.28,42.050000000000004,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1859,29.82,277.18,8.31,0.1588,3.92,29.82,73.31,83.92,43.49,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1860,19.84,306.91,7.46,0.0907,3.82,19.84,72.46,83.82,52.61999999999999,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1861,27.18,268.08,10.44,0.1726,5.44,27.18,75.44,85.44,48.26,1850_1899,True,True,Iceland,both,True
ISL,Iceland,1862,27.1,315.55,6.42,0.1046,3.44,27.1,71.42,83.44,44.32,1850_1899,True,True,Iceland,both,True
