region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
SWE,Sweden,1806,36.2,221.47,10.04,0.2559,4.51,36.2,75.03999999999999,84.51,38.83999999999999,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1807,38.77,190.21,9.54,0.2633,4.35,38.77,74.53999999999999,84.35,35.76999999999999,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1808,30.19,217.42,8.63,0.1625,3.89,30.19,73.63,83.89,43.44,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1809,26.91,208.31,8.08,0.1106,3.87,26.91,73.08,83.87,46.17,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1810,31.99,204.88,8.84,0.1851,4.07,31.99,73.84,84.07,41.85000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1811,34.59,204.37,9.66,0.2176,4.58,34.59,74.66,84.58,40.06999999999999,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1812,35.11,201.43,8.43,0.201,4.0,35.11,73.43,84.0,38.32000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1813,36.5,179.53,9.41,0.238,4.47,36.5,74.41,84.47,37.91,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1814,38.6,181.99,10.01,0.2813,4.67,38.6,75.01,84.67,36.410000000000004,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1819,36.97,182.87,9.28,0.2442,4.38,36.97,74.28,84.38,37.31,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1821,38.17,181.58,10.38,0.2784,4.65,38.17,75.38,84.65,37.209999999999994,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1828,37.76,174.92,9.65,0.2429,4.4,37.76,74.65,84.4,36.89000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1829,36.21,198.97,8.87,0.2205,3.91,36.21,73.87,83.91,37.660000000000004,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1831,39.0,189.81,8.93,0.2557,3.84,39.0,73.93,83.84,34.93000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1834,38.55,175.95,10.09,0.238,4.48,38.55,75.09,84.48,36.540000000000006,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1837,39.6,189.65,9.29,0.2751,3.94,39.6,74.28999999999999,83.94,34.68999999999999,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1839,39.87,162.69,9.98,0.2676,4.38,39.87,74.98,84.38,35.11000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1853,39.99,160.0,9.9,0.272,4.58,39.99,74.9,84.58,34.910000000000004,1850_1899,True,True,Sweden,both,True
SWE,Sweden,1857,34.62,163.93,9.99,0.2391,4.36,34.62,74.99,84.36,40.37,1850_1899,True,True,Sweden,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1846,39.91,163.25,11.28,0.3034,5.22,39.91,76.28,85.22,36.370000000000005,pre_1850,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1847,38.29,158.07,10.31,0.2691,4.64,38.29,75.31,84.64,37.02,pre_1850,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1848,39.46,154.72,11.1,0.2958,5.15,39.46,76.1,85.15,36.63999999999999,pre_1850,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1849,37.34,158.81,10.65,0.2521,5.09,37.34,75.65,85.09,38.31,pre_1850,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1854,39.3,156.5,11.22,0.2930999999999999,5.19,39.3,76.22,85.19,36.92,1850_1899,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1858,39.99,155.48,11.08,0.31,5.02,39.99,76.08,85.02,36.089999999999996,1850_1899,True,True,England & Wales,both,True
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,U.K.: England & Wales Total Population,1864,39.93,151.4,10.88,0.2934,5.03,39.93,75.88,85.03,35.949999999999996,1850_1899,True,True,England & Wales,both,True
