year,0,1,5,15,20,30,50,65,exp15
1751,35.230000000000004,43.375,47.004999999999995,41.795,38.235,31.564999999999998,18.875,10.265,56.795
1778,37.265,44.745000000000005,49.05,43.825,40.144999999999996,33.269999999999996,19.68,10.09,58.825
1783,35.07,42.86,46.894999999999996,42.125,38.67,31.924999999999997,18.795,9.9,57.125
1788,35.33,44.105000000000004,46.775000000000006,40.86,37.245000000000005,30.744999999999997,18.5,10.02,55.86
1791,36.94,45.06,47.86,41.769999999999996,38.08,31.165,17.97,9.565,56.769999999999996
1793,38.835,47.83,50.495000000000005,44.185,40.295,32.989999999999995,19.21,10.145,59.185
1798,37.455,46.555,49.45,43.05,39.225,32.025,18.385,9.65,58.05
1803,39.22,47.59,49.375,42.68000000000001,38.974999999999994,31.990000000000002,18.36,9.899999999999999,57.68000000000001
1808,30.9,38.644999999999996,42.035,37.114999999999995,33.75,27.595,15.905,8.65,52.114999999999995
1813,39.06,47.14,49.665,43.03,39.215,32.125,18.655,9.965,58.03
1816,41.55,48.8,50.025000000000006,42.94,39.035,31.825,18.575000000000003,10.01,57.94
1818,39.175,46.815,49.11,42.625,38.825,31.7,18.395,9.96,57.625
1823,44.19499999999999,51.485,51.879999999999995,44.260000000000005,40.230000000000004,32.925,19.29,10.555,59.260000000000005
1828,39.04,46.505,48.245000000000005,41.275,37.295,30.18,17.439999999999998,9.379999999999999,56.275
1833,42.47,49.8,50.485,43.129999999999995,39.114999999999995,31.880000000000003,18.810000000000002,10.27,58.129999999999995
1838,42.1,49.295,50.135000000000005,43.025,39.09,31.85,18.65,9.995000000000001,58.025
1843,42.995000000000005,49.89,51.07,44.18,40.225,32.73,18.91,10.04,59.18
1848,43.915,50.535,51.46,44.489999999999995,40.474999999999994,32.93,19.175,10.18,59.489999999999995
1853,40.67,46.735,49.05,43.525,39.724999999999994,32.41,18.9,10.175,58.525
1858,44.795,50.85,52.945,46.455,42.510000000000005,35.015,20.560000000000002,11.23,61.455
1863,45.265,51.285,53.345,46.67,42.715,35.19499999999999,20.549999999999997,11.09,61.67
1868,45.005,51.455,53.120000000000005,46.155,42.175,34.72,20.25,10.855,61.155
1873,45.43,51.834999999999994,53.465,46.82,42.86,35.709999999999994,21.375,11.555,61.82
1878,48.03,53.599999999999994,55.195,48.85,44.91,37.42,22.425,12.155000000000001,63.85
1883,49.585,54.835,55.97,49.2,45.290000000000006,37.82,22.775,12.385,64.2
1888,51.09,56.21,56.519999999999996,49.21,45.295,37.885,22.755000000000003,12.355,64.21000000000001
1891,52.290000000000006,57.144999999999996,57.05,49.635,45.754999999999995,38.405,23.240000000000002,12.685,64.63499999999999
1893,52.769999999999996,57.58,57.394999999999996,50.010000000000005,46.11,38.730000000000004,23.505,12.935,65.01
1898,52.864999999999995,57.68,57.3,49.715,45.894999999999996,38.59,23.4,12.855,64.715
1901,55.754999999999995,59.85,58.65,50.635,46.769999999999996,39.385000000000005,23.955,13.25,65.63499999999999
1903,55.480000000000004,59.595,58.39,50.445,46.61,39.25,23.880000000000003,13.190000000000001,65.445
1908,57.595,60.685,59.485,51.155,47.205,39.724999999999994,24.119999999999997,13.315000000000001,66.155
1913,58.26,60.295,59.510000000000005,51.155,47.239999999999995,39.885000000000005,24.185000000000002,13.27,66.155
1918,57.29,58.97,58.115,49.9,46.085,39.43,24.28,13.375,64.9
1921,61.9475,64.73,62.1375,53.2625,49.125,41.147499999999994,24.692500000000003,13.5925,68.2625
1923,62.565,64.22,62.445,53.54,49.335,41.349999999999994,24.810000000000002,13.64,68.53999999999999
1926,62.265,65.035,62.295,53.345,49.144999999999996,41.05,24.525,13.43,68.345
1928,63.025000000000006,64.73,62.735,53.705,49.44,41.265,24.634999999999998,13.455,68.705
1931,64.275,66.525,63.505,54.32,49.995,41.61,24.675,13.43,69.32
1933,64.91499999999999,66.345,63.92,54.754999999999995,50.355000000000004,41.835,24.759999999999998,13.465,69.755
1936,65.61,67.43,64.21000000000001,54.94,50.49,41.805,24.545,13.275,69.94
1938,67.00999999999999,68.11,65.33,55.935,51.379999999999995,42.58,25.08,13.585,70.935
1941,68.8725,69.885,66.41999999999999,56.9475,52.3575,43.4225,25.6275,13.977500000000001,71.94749999999999
1943,68.86,69.475,66.35499999999999,56.915,52.315,43.42,25.59,13.905000000000001,71.91499999999999
1946,70.31,71.005,67.39,57.769999999999996,53.045,43.8,25.665,13.905,72.77
1948,71.355,71.69999999999999,68.22,58.575,53.790000000000006,44.370000000000005,26.025,14.120000000000001,73.575
1951,72.2325,72.60999999999999,68.9075,59.2025,54.4075,44.885,26.39,14.36,74.2025
1953,72.565,72.74000000000001,69.155,59.45,54.650000000000006,45.114999999999995,26.545,14.440000000000001,74.45
1956,72.98,73.2,69.455,59.72,54.92,45.34,26.735,14.565000000000001,74.72
1957,72.56,72.815,69.08,59.379999999999995,54.58,45.010000000000005,26.43,14.375,74.38
1958,73.345,73.47999999999999,69.775,60.03,55.21,45.620000000000005,26.93,14.665,75.03
1960,73.2825,73.4475,69.67750000000001,59.917500000000004,55.102500000000006,45.515,26.86,14.6325,74.9175
1961,73.66,73.775,69.97,60.205,55.394999999999996,45.8,27.145,14.879999999999999,75.205
1962,73.565,73.6875,69.8925,60.14,55.324999999999996,45.72,27.0375,14.7625,75.14
1963,73.765,73.85,70.0325,60.2675,55.465,45.8775,27.21,14.93,75.2675
1964,73.78999999999999,73.845,70.025,60.26,55.465,45.89,27.240000000000002,14.99,75.25999999999999
1965,73.91499999999999,73.905,70.09,60.33,55.525000000000006,45.92,27.28,14.995000000000001,75.33
1966,74.2025,74.125,70.2975,60.515,55.7025,46.1025,27.4725,15.150000000000002,75.515
1967,74.2625,74.185,70.33500000000001,60.5375,55.705,46.12,27.53,15.205,75.5375
1968,74.21000000000001,74.1225,70.275,60.495000000000005,55.682500000000005,46.095,27.502499999999998,15.165,75.495
1969,74.3625,74.2,70.35499999999999,60.56,55.755,46.1575,27.564999999999998,15.26,75.56
1970,74.7225,74.5275,70.67,60.8825,56.082499999999996,46.480000000000004,27.87,15.5525,75.8825
1971,74.735,74.525,70.6525,60.855,56.0525,46.442499999999995,27.86,15.535,75.85499999999999
