region_id,year,0,1,5,15,20,30,50,65,exp15
AUT,1865,31.700000000000003,41.4,45.935,40.03,36.46,30.095,17.46,9.34,55.03
AUT,1868,34.465,46.305,49.265,42.275,38.545,31.825000000000003,18.255000000000003,9.325,57.275
AUT,1870,32.34,42.295,46.92,41.16,37.525,31.005000000000003,18.015,9.805,56.16
AUT,1879,35.08,45.730000000000004,49.32,43.015,39.32,32.56,18.924999999999997,9.879999999999999,58.015
AUT,1889,37.31,48.42,51.004999999999995,43.754999999999995,39.989999999999995,32.97,19.049999999999997,9.89,58.754999999999995
BGR,1909,39.14,47.519999999999996,52.515,45.925,42.47,36.635000000000005,23.240000000000002,13.63,60.925
BOL,1950,39.18,46.455,51.06999999999999,44.095,40.385,33.555,19.235,9.690000000000001,59.095
CAN,1831,39.105,46.4375,49.629999999999995,42.5625,39.022499999999994,32.7275,19.627499999999998,10.84,57.5625
CHL,1919,31.59,41.355000000000004,44.69,37.345,34.025000000000006,28.369999999999997,17.645,9.83,52.345
CHN,1929,33.725,39.0,46.27,42.38,39.42,33.295,19.67,11.3,57.38
CUB,1919,39.075,,47.525000000000006,40.25,36.86,31.200000000000003,19.71,11.74,55.25
DEU,1871,37.045,47.3,50.2,43.265,39.32,32.24,18.634999999999998,9.755,58.265
DEU,1881,38.72,48.795,51.665,44.575,40.56,33.15,19.15,10.055,59.575
EGY,1944,38.845,45.480000000000004,54.379999999999995,46.825,42.935,35.599999999999994,21.42,11.615,61.825
ESP,1900,34.745000000000005,42.375,49.295,42.445,38.855000000000004,32.57,18.545,9.115,57.445
ESP,1918,30.665,36.54,41.14,35.135000000000005,32.215,28.42,18.705,10.335,50.135000000000005
FIN,1751,36.7825,46.1225,49.295,44.010000000000005,40.21,32.9125,19.555,11.0,59.010000000000005
FIN,1761,34.775000000000006,44.67,48.345,43.445,39.644999999999996,32.46,19.23,11.094999999999999,58.445
FIN,1771,39.325,48.65,50.97,44.995,41.105,33.82,19.985,10.934999999999999,59.995
FIN,1781,33.75,41.905,45.32,40.325,36.645,29.94,17.65,9.905000000000001,55.325
FIN,1791,37.004999999999995,45.394999999999996,49.269999999999996,44.629999999999995,40.79,33.379999999999995,19.354999999999997,10.46,59.629999999999995
FIN,1801,33.915,41.85,44.97,40.212500000000006,36.552499999999995,29.509999999999998,16.512500000000003,8.88,55.212500000000006
FIN,1811,35.975,44.175,47.72,42.61,38.81,31.43,17.505000000000003,9.415,57.61
FIN,1821,38.35,46.935,49.769999999999996,43.91,40.019999999999996,32.635000000000005,18.535,9.795,58.91
FIN,1831,34.620000000000005,42.275,45.22,40.629999999999995,37.010000000000005,30.0,16.97,9.06,55.629999999999995
FIN,1851,35.075,41.82,45.584999999999994,40.985,37.355000000000004,30.575000000000003,17.34,9.125,55.985
FIN,1861,32.025,38.67,42.765,38.265,34.62,27.895000000000003,15.620000000000001,8.24,53.265
FRA,1806,34.9675,41.985,45.235,39.2775,35.5775,30.825000000000003,18.5175,10.370000000000001,54.2775
FRA,1807,34.224999999999994,41.6225,45.087500000000006,39.175,35.802499999999995,30.7075,18.42,10.3175,54.175
FRA,1808,34.5225,41.685,44.415000000000006,38.13,35.1775,30.667500000000004,18.6725,10.46,53.13
FRA,1809,35.072500000000005,41.81,45.137499999999996,38.8275,35.7775,31.73,19.5725,10.915000000000001,53.8275
FRA,1810,37.425000000000004,44.8525,47.91,41.777499999999996,38.23,33.28,19.8225,10.8825,56.777499999999996
FRA,1811,36.1275,43.417500000000004,46.8875,41.065,37.5625,32.825,19.565,10.73,56.065
FRA,1812,31.822499999999998,37.635000000000005,39.165,32.2675,29.002499999999998,30.47,18.7225,10.217500000000001,47.2675
FRA,1813,31.3125,37.185,39.065,32.412499999999994,30.237500000000004,30.67,19.215,10.665,47.412499999999994
FRA,1814,30.224999999999998,36.575,38.565,32.2625,29.515,29.4225,18.515,10.365,47.2625
FRA,1815,36.515,43.78,46.980000000000004,41.085,37.6725,33.025,19.8825,10.975,56.085
FRA,1816,39.875,47.385000000000005,49.635,43.28,39.707499999999996,33.28,19.627499999999998,10.7625,58.28
FRA,1817,38.7175,46.072500000000005,49.14,43.065,39.5275,32.9825,19.3875,10.7825,58.065
FRA,1818,38.1625,45.4875,48.9875,43.155,39.6725,33.225,19.759999999999998,11.06,58.155
FRA,1819,37.087500000000006,44.68000000000001,48.58,43.2125,39.695,33.335,19.877499999999998,11.1275,58.2125
FRA,1820,38.667500000000004,46.2825,49.317499999999995,43.53,39.925,33.285,19.4725,10.66,58.53
FRA,1821,39.14,46.957499999999996,50.3575,44.5125,40.9225,34.42,20.555,11.46,59.5125
FRA,1822,37.927499999999995,46.2075,49.9075,44.125,40.629999999999995,34.3275,20.53,11.3625,59.125
FRA,1823,39.894999999999996,47.5825,50.7375,44.8675,41.23,34.6775,20.6175,11.3775,59.8675
FRA,1824,39.010000000000005,47.065,50.817499999999995,44.96,41.322500000000005,34.815,20.7725,11.530000000000001,59.96
FRA,1825,37.864999999999995,46.065,49.962500000000006,44.275,40.785,34.2675,20.462500000000002,11.425,59.275
FRA,1826,37.0775,44.935,48.725,43.3275,39.9225,33.6225,19.9175,10.91,58.3275
FRA,1827,39.082499999999996,46.6125,49.5375,43.682500000000005,40.175,33.722500000000004,20.0675,11.079999999999998,58.682500000000005
FRA,1828,37.28,44.8525,49.057500000000005,43.36,39.870000000000005,33.4375,19.79,10.865,58.36
FRA,1829,39.260000000000005,46.4825,49.504999999999995,43.3775,39.8125,33.472500000000004,19.7225,10.620000000000001,58.3775
FRA,1830,39.015,46.5425,49.6325,43.472500000000004,39.92,33.5175,19.77,10.66,58.472500000000004
FRA,1831,39.035000000000004,46.2625,49.7575,43.725,40.2125,34.11750000000001,20.2225,10.907499999999999,58.725
FRA,1832,35.440000000000005,42.237500000000004,45.5125,39.96,36.47,30.622500000000002,18.1325,9.8675,54.96
FRA,1833,38.677499999999995,45.8,48.9325,43.19,39.6875,33.567499999999995,20.0775,10.9725,58.19
FRA,1834,34.7625,42.86,47.2675,42.0675,38.730000000000004,32.7825,19.5775,10.67,57.0675
FRA,1835,39.1325,46.370000000000005,49.1575,43.120000000000005,39.6075,33.379999999999995,19.975,10.925,58.120000000000005
FRA,1837,39.019999999999996,45.822500000000005,48.72,42.2575,38.6775,32.465,18.9075,9.915,57.2575
FRA,1838,39.1175,46.025000000000006,49.5675,43.365,39.785000000000004,33.68,20.0275,10.865,58.365
FRA,1840,39.864999999999995,46.4725,49.12,43.015,39.537499999999994,33.685,20.115000000000002,10.915,58.015
FRA,1842,39.6775,46.522499999999994,49.292500000000004,43.09,39.6575,33.82,20.212500000000002,10.8325,58.09
FRA,1849,35.855000000000004,42.235,45.83,40.075,36.665,31.0825,18.7725,10.325,55.075
FRA,1854,35.7025,42.405,45.737500000000004,39.565,36.26,30.9825,18.332500000000003,9.8775,54.565
FRA,1855,36.97,43.667500000000004,46.5025,40.24,37.0075,32.68,19.310000000000002,10.175,55.24
FRA,1856,39.629999999999995,46.67,49.4525,43.1275,39.855000000000004,34.5075,20.585,11.1775,58.1275
FRA,1857,39.22,47.0175,49.8725,43.629999999999995,40.322500000000005,34.0825,20.13,10.907499999999999,58.629999999999995
FRA,1858,39.48,46.92,49.7725,43.5325,40.08,33.61750000000001,19.665,10.4775,58.5325
FRA,1859,34.980000000000004,43.472500000000004,48.265,42.67,39.339999999999996,33.427499999999995,19.707500000000003,10.615,57.67
FRA,1861,39.650000000000006,47.92,51.489999999999995,44.870000000000005,41.375,34.875,20.625,11.16,59.870000000000005
FRA,1865,39.4125,47.614999999999995,50.425,43.5225,40.057500000000005,33.6675,19.817500000000003,10.5275,58.5225
