region_id,label,year,e0,imr,e65,exp_death_65,s_to_65,adult_gap_65
FRANCE:_TOTAL_POPULATION,France,1820,39.28,173.56,10.72,75.72,0.2941,36.44
FRANCE:_TOTAL_POPULATION,France,1821,39.88,174.26,11.53,76.53,0.3115,36.65
FRANCE:_TOTAL_POPULATION,France,1822,38.37,194.3,11.38,76.38,0.299,38.01
FRANCE:_TOTAL_POPULATION,France,1824,39.21,188.53,11.57,76.57,0.3112,37.35999999999999
FRANCE:_TOTAL_POPULATION,France,1825,38.58,182.87,11.4,76.4,0.2982,37.82000000000001
FRANCE:_TOTAL_POPULATION,France,1826,37.8,182.12,10.86,75.86,0.2863,38.06
FRANCE:_TOTAL_POPULATION,France,1827,39.41,178.36,11.1,76.1,0.3,36.69
FRANCE:_TOTAL_POPULATION,France,1828,37.6,184.81,10.89,75.89,0.2829,38.29
FRANCE:_TOTAL_POPULATION,France,1829,39.44,172.75,10.65,75.65,0.2999,36.21000000000001
FRANCE:_TOTAL_POPULATION,France,1830,39.63,169.62,10.65,75.65,0.3026,36.02
FRANCE:_TOTAL_POPULATION,France,1831,39.73,165.35,10.91,75.91,0.3107,36.18
FRANCE:_TOTAL_POPULATION,France,1832,35.87,177.1,9.86,74.86,0.2362999999999999,38.99
FRANCE:_TOTAL_POPULATION,France,1833,38.88,172.55,10.99,75.99,0.2955,37.10999999999999
FRANCE:_TOTAL_POPULATION,France,1834,35.09,202.94,10.7,75.7,0.2567,40.61
FRANCE:_TOTAL_POPULATION,France,1835,39.52,168.74,10.95,75.95,0.2996999999999999,36.43
FRANCE:_TOTAL_POPULATION,France,1837,39.42,164.78,9.88,74.88,0.2907,35.459999999999994
FRANCE:_TOTAL_POPULATION,France,1838,39.37,167.14,10.8,75.8,0.3028,36.43
FRANCE:_TOTAL_POPULATION,France,1849,35.95,171.4,10.28,75.28,0.2433,39.33
FRANCE:_TOTAL_POPULATION,France,1854,36.16,173.67,9.88,74.88,0.2445,38.72
FRANCE:_TOTAL_POPULATION,France,1855,37.56,162.78,10.13,75.13,0.2738,37.56999999999999
FRANCE:_TOTAL_POPULATION,France,1857,39.6,180.17,10.83,75.83,0.3095,36.23
FRANCE:_TOTAL_POPULATION,France,1858,39.71,174.85,10.41,75.41,0.3064,35.699999999999996
FRANCE:_TOTAL_POPULATION,France,1859,35.33,210.03,10.53,75.53,0.2664,40.2
FRANCE:_TOTAL_POPULATION,France,1870,36.52,186.2,9.81,74.81,0.2571,38.29
FRANCE:_TOTAL_POPULATION,France,1871,29.74,200.37,9.65,74.65,0.1684,44.91000000000001
FRANCE:_TOTAL_POPULATION,France,1914,38.23,114.33,10.94,75.94,0.2457,37.71
FRANCE:_TOTAL_POPULATION,France,1915,36.55,109.93,11.0,76.0,0.2202,39.45
FRANCE:_TOTAL_POPULATION,France,1916,39.75,129.97,11.16,76.16,0.2737,36.41
FRANCE:_TOTAL_POPULATION,France,1918,34.84,153.31,11.06,76.06,0.2103,41.22
ISL,Iceland,1838,32.54,308.02,9.79,74.78999999999999,0.2012999999999999,42.24999999999999
ISL,Iceland,1839,28.07,316.38,9.64,74.64,0.1572,46.57
ISL,Iceland,1840,32.08,300.34,11.4,76.4,0.2241,44.32000000000001
ISL,Iceland,1843,25.5,356.04,5.23,70.23,0.0507,44.730000000000004
ISL,Iceland,1846,18.68,534.11,5.58,70.58,0.0527,51.9
ISL,Iceland,1847,33.41,364.93,15.21,80.21000000000001,0.2425,46.80000000000001
ISL,Iceland,1849,37.34,250.1,15.62,80.62,0.3162,43.28
ISL,Iceland,1850,36.74,253.49,15.45,80.45,0.3182999999999999,43.71
ISL,Iceland,1851,30.14,248.75,11.55,76.55,0.2203,46.41
ISL,Iceland,1855,38.24,248.96,8.39,73.39,0.2364,35.15
ISL,Iceland,1857,39.52,225.35,13.32,78.32,0.3309,38.79999999999999
ISL,Iceland,1858,34.88,225.47,11.93,76.93,0.2415,42.050000000000004
ISL,Iceland,1859,29.82,277.18,8.31,73.31,0.1588,43.49
ISL,Iceland,1860,19.84,306.91,7.46,72.46,0.0907,52.61999999999999
ISL,Iceland,1861,27.18,268.08,10.44,75.44,0.1726,48.26
ISL,Iceland,1862,27.1,315.55,6.42,71.42,0.1046,44.32
ISL,Iceland,1863,35.22,222.73,8.31,73.31,0.1812,38.09
ISL,Iceland,1864,34.97,235.65,10.56,75.56,0.2246,40.59
ISL,Iceland,1865,34.24,226.21,10.06,75.06,0.2108,40.82
ISL,Iceland,1866,27.28,274.33,5.66,70.66,0.0838,43.379999999999995
ISL,Iceland,1867,37.67,248.58,12.47,77.47,0.2697,39.8
