state,fire_year,size_class,cause_class,n,acres
AK,1998,A,Human,272,29.700000000000003
AK,1998,A,Natural,3,0.4
AK,1998,B,Human,77,104.1
AK,1998,B,Natural,16,44.5
AK,1998,C,Human,8,303.2
AK,1998,C,Natural,18,562.2
AK,1998,D,Human,1,118.0
AK,1998,D,Natural,2,415.0
AK,1998,E,Human,2,857.0
AK,1998,E,Natural,4,2327.0
AK,1998,F,Natural,1,3381.0
AK,1998,G,Natural,4,112640.0
AK,1999,A,Human,233,26.200000000000003
AK,1999,A,Natural,10,1.1
AK,1999,B,Human,74,90.8
AK,1999,B,Natural,49,128.2
AK,1999,C,Human,9,284.8
AK,1999,C,Natural,32,1162.2
AK,1999,D,Human,5,828.6
AK,1999,D,Natural,9,1799.0
AK,1999,E,Human,1,383.0
AK,1999,E,Missing data/not specified/undetermined,1,408.79
AK,1999,E,Natural,18,10531.0
AK,1999,F,Human,1,3876.0
AK,1999,F,Natural,13,34875.0
AK,1999,G,Human,1,18720.0
AK,1999,G,Natural,26,932729.0
AK,2000,A,Human,194,22.1
AK,2000,A,Missing data/not specified/undetermined,1,0.1
AK,2000,A,Natural,9,1.2000000000000002
AK,2000,B,Human,73,102.9
AK,2000,B,Natural,27,91.5
AK,2000,C,Human,9,218.5
AK,2000,C,Natural,12,240.0
AK,2000,D,Natural,5,936.0
AK,2000,E,Human,2,1106.0
AK,2000,E,Natural,8,5193.5
AK,2000,F,Human,1,1120.0
AK,2000,F,Natural,8,23679.0
AK,2000,G,Human,1,12891.0
AK,2000,G,Natural,14,710777.4
AK,2001,A,Human,215,23.900000000000002
AK,2001,A,Natural,6,0.9
AK,2001,B,Human,94,151.5
AK,2001,B,Natural,12,40.5
AK,2001,C,Human,7,168.7
AK,2001,C,Natural,4,147.0
AK,2001,D,Human,6,1002.4
AK,2001,D,Natural,2,200.0
AK,2001,E,Human,2,1168.9
AK,2001,E,Natural,3,2045.7
AK,2001,F,Human,4,10101.8
AK,2001,F,Natural,1,1793.0
AK,2001,G,Human,2,196842.0
AK,2001,G,Natural,1,6238.2
AK,2002,A,Human,240,27.700000000000003
AK,2002,A,Natural,30,3.3000000000000003
AK,2002,B,Human,108,179.0
AK,2002,B,Natural,43,106.6
AK,2002,C,Human,6,190.0
AK,2002,C,Natural,27,925.3
AK,2002,D,Human,3,397.5
AK,2002,D,Natural,17,2743.0
AK,2002,E,Human,4,1964.0
AK,2002,E,Natural,4,1781.0
AK,2002,F,Human,1,4110.0
AK,2002,F,Natural,13,32623.0
AK,2002,G,Human,5,413676.5
AK,2002,G,Natural,36,1727919.1
AK,2003,A,Human,278,31.110000000000003
AK,2003,A,Natural,11,1.5
AK,2003,B,Human,89,154.3
AK,2003,B,Missing data/not specified/undetermined,1,0.5
AK,2003,B,Natural,27,87.1
AK,2003,C,Human,19,576.5
AK,2003,C,Missing data/not specified/undetermined,1,10.0
AK,2003,C,Natural,15,533.1
AK,2003,D,Human,3,510.8
AK,2003,D,Natural,3,423.7
AK,2003,E,Human,3,1470.7
AK,2003,E,Natural,11,5440.5
AK,2003,F,Human,1,1500.0
AK,2003,F,Natural,5,11923.400000000001
AK,2003,G,Human,3,17996.4
AK,2003,G,Natural,8,561014.4
AK,2004,A,Human,287,31.8
AK,2004,A,Missing data/not specified/undetermined,28,3.1
AK,2004,A,Natural,18,1.8
AK,2004,B,Human,71,117.0
AK,2004,B,Missing data/not specified/undetermined,15,18.3
AK,2004,B,Natural,90,265.3
AK,2004,C,Human,10,460.8
AK,2004,C,Missing data/not specified/undetermined,3,96.0
AK,2004,C,Natural,50,1887.7
AK,2004,D,Human,1,205.0
AK,2004,D,Missing data/not specified/undetermined,1,100.0
AK,2004,D,Natural,20,3963.49
AK,2004,E,Natural,13,5841.99
AK,2004,F,Human,2,2743.9
AK,2004,F,Natural,20,47354.2
AK,2004,G,Human,2,15622.0
AK,2004,G,Natural,63,6513156.2
AK,2005,A,Human,190,21.25
AK,2005,A,Natural,31,3.9000000000000004
AK,2005,B,Human,73,127.7
AK,2005,B,Missing data/not specified/undetermined,1,0.5
AK,2005,B,Natural,94,209.0
AK,2005,C,Human,22,808.0
AK,2005,C,Natural,56,2133.6
AK,2005,D,Human,3,537.0
AK,2005,D,Natural,16,2804.4
AK,2005,E,Human,3,1015.8
AK,2005,E,Natural,22,12359.0
AK,2005,F,Human,1,4827.0
AK,2005,F,Natural,29,69162.1
AK,2005,G,Human,1,5400.0
AK,2005,G,Natural,77,4536489.4
AK,2006,A,Human,153,16.400000000000002
AK,2006,A,Missing data/not specified/undetermined,15,1.7000000000000002
AK,2006,A,Natural,7,0.8
AK,2006,B,Human,58,88.4
AK,2006,B,Missing data/not specified/undetermined,6,9.2
AK,2006,B,Natural,14,31.400000000000002
AK,2006,C,Human,11,435.5
AK,2006,C,Natural,13,489.6
AK,2006,D,Human,1,275.0
AK,2006,D,Natural,4,786.0
AK,2006,E,Human,1,461.0
AK,2006,E,Natural,7,2883.1
AK,2006,F,Human,1,1309.6
AK,2006,F,Natural,3,8841.9
AK,2006,G,Human,1,118520.1
AK,2006,G,Natural,6,120364.1
AK,2007,A,Human,143,15.5
AK,2007,A,Missing data/not specified/undetermined,23,2.6
AK,2007,A,Natural,36,4.2
AK,2007,B,Human,63,82.5
AK,2007,B,Missing data/not specified/undetermined,9,9.1
AK,2007,B,Natural,88,216.2
AK,2007,C,Human,6,170.0
AK,2007,C,Natural,51,2062.6
AK,2007,D,Human,2,350.0
AK,2007,D,Missing data/not specified/undetermined,1,180.0
AK,2007,D,Natural,20,3814.8
AK,2007,E,Natural,30,17020.9
AK,2007,F,Human,1,2053.0
AK,2007,F,Natural,22,54888.8
AK,2007,G,Human,2,89706.0
AK,2007,G,Natural,16,463889.9
AK,2008,A,Human,188,20.700000000000003
AK,2008,A,Natural,17,1.9000000000000001
AK,2008,B,Human,64,105.7
AK,2008,B,Missing data/not specified/undetermined,1,0.3
AK,2008,B,Natural,32,81.3
AK,2008,C,Human,8,172.9
AK,2008,C,Missing data/not specified/undetermined,1,30.0
AK,2008,C,Natural,20,657.4
AK,2008,D,Human,2,466.0
AK,2008,D,Natural,10,1851.6
AK,2008,E,Human,2,1054.1
AK,2008,E,Natural,12,5258.0
AK,2008,F,Natural,7,14180.4
AK,2008,G,Natural,5,68597.3
AK,2009,A,Human,212,22.970000000000002
AK,2009,A,Natural,23,2.6
AK,2009,B,Human,82,132.9
AK,2009,B,Natural,63,146.6
AK,2009,C,Human,16,560.7
AK,2009,C,Natural,31,988.7
AK,2009,D,Human,3,375.0
AK,2009,D,Natural,9,1850.4
AK,2009,E,Natural,9,6513.2
AK,2009,F,Human,3,4384.0
AK,2009,F,Natural,15,40789.0
AK,2009,G,Human,2,51232.3
AK,2009,G,Natural,45,2842595.6
AK,2010,A,Human,234,25.87
AK,2010,A,Natural,48,5.0
