age_x,n,n_countries,median_e0,median_e_x,median_expected_age,p10_expected_age,p90_expected_age,share_ge_45,share_ge_50,share_ge_60,share_ge_70,e0_threshold
0,116,26,36.8575,36.8575,36.8575,30.895,39.292500000000004,0.0,0.0,0.0,0.0,40.0
1,114,24,36.79875,44.675000000000004,45.675000000000004,39.088,48.56375,0.5263157894736842,0.0,0.0,0.0,40.0
5,116,26,36.8575,48.305,53.305,45.85875,55.510000000000005,0.9051724137931034,0.7758620689655172,0.0,0.0,40.0
15,111,25,36.97,42.61,57.61,49.845,59.275,0.990990990990991,0.8828828828828829,0.018018018018018018,0.0,40.0
20,116,26,36.8575,38.8175,58.8175,51.13250000000001,60.595,1.0,0.9310344827586207,0.25862068965517243,0.0,40.0
30,116,26,36.8575,32.462500000000006,62.462500000000006,57.7525,64.02375,1.0,1.0,0.7586206896551724,0.0,40.0
50,116,26,36.8575,19.18,69.18,66.20249999999999,70.235,1.0,1.0,1.0,0.20689655172413793,40.0
65,111,25,36.97,10.335,75.335,74.06,76.1775,1.0,1.0,1.0,1.0,40.0
