age_x,n,n_countries,median_e0,median_e_x,median_expected_age,p10_expected_age,p90_expected_age,share_ge_45,share_ge_50,share_ge_60,share_ge_70,e0_threshold
0,38,13,31.76125,31.76125,31.76125,27.349,34.775,0.0,0.0,0.0,0.0,35.0
1,38,13,31.76125,40.01,41.01,35.903999999999996,43.863,0.05263157894736842,0.0,0.0,0.0,35.0
5,38,13,31.76125,43.59,48.59,42.717,53.289,0.7105263157894737,0.42105263157894735,0.0,0.0,35.0
15,33,11,31.700000000000003,37.345,52.345,46.9805,57.432,0.9696969696969697,0.6666666666666666,0.0,0.0,35.0
20,38,13,31.76125,34.2175,54.2175,48.6205,59.0005,1.0,0.8157894736842105,0.02631578947368421,0.0,35.0
30,38,13,31.76125,29.14875,59.14875,53.7735,62.63375,1.0,1.0,0.39473684210526316,0.0,35.0
50,38,13,31.76125,17.6475,67.64750000000001,64.593,69.37625,1.0,1.0,1.0,0.02631578947368421,35.0
65,33,11,31.700000000000003,9.34,74.34,73.27100000000002,75.669,1.0,1.0,1.0,1.0,35.0
