age_x,n,n_countries,median_e0,median_e_x,median_expected_age,p10_expected_age,p90_expected_age,share_ge_45,share_ge_50,share_ge_60,share_ge_70,e0_threshold
0,49,18,35.075,35.075,35.075,30.083000000000002,39.088,0.0,0.0,0.0,0.0,40.0
1,47,16,35.07,42.86,43.86,37.905,48.548,0.44680851063829785,0.0,0.0,0.0,40.0
5,49,18,35.075,46.775000000000006,51.775000000000006,44.314,55.407,0.8571428571428571,0.6530612244897959,0.0,0.0,40.0
15,44,16,35.644999999999996,40.9225,55.9225,48.781,59.059,0.9772727272727273,0.8409090909090909,0.022727272727272728,0.0,40.0
20,49,18,35.075,37.010000000000005,57.010000000000005,50.133,60.251,1.0,0.8979591836734694,0.1836734693877551,0.0,40.0
30,49,18,35.075,30.18,60.18,54.993,63.312,1.0,1.0,0.5510204081632653,0.0,40.0
50,49,18,35.075,17.814999999999998,67.815,64.922,69.686,1.0,1.0,1.0,0.061224489795918366,40.0
65,44,16,35.644999999999996,9.8125,74.8125,73.4175,76.0755,1.0,1.0,1.0,1.0,40.0
