age_x,n,n_countries,median_e0,median_e_x,median_expected_age,p10_expected_age,p90_expected_age,share_ge_45,share_ge_50,share_ge_60,share_ge_70,e0_threshold
0,22,9,31.127499999999998,31.127499999999998,31.127499999999998,24.282000000000004,34.7595,0.0,0.0,0.0,0.0,35.0
1,22,9,31.127499999999998,38.9875,39.9875,33.840999999999994,43.238,0.045454545454545456,0.0,0.0,0.0,35.0
5,22,9,31.127499999999998,42.2175,47.2175,42.328500000000005,51.232000000000006,0.6818181818181818,0.3181818181818182,0.0,0.0,35.0
15,17,7,31.025,35.894999999999996,50.894999999999996,45.802,56.33,0.9411764705882353,0.5882352941176471,0.0,0.0,35.0
20,22,9,31.127499999999998,33.445,53.445,48.4615,56.97350000000001,1.0,0.7727272727272727,0.0,0.0,35.0
30,22,9,31.127499999999998,27.6725,57.6725,53.13550000000001,59.994,1.0,1.0,0.13636363636363635,0.0,35.0
50,22,9,31.127499999999998,15.989999999999998,65.99,64.0175,69.07499999999999,1.0,1.0,1.0,0.0,35.0
65,17,7,31.025,8.735,73.735,72.822,75.381,1.0,1.0,1.0,1.0,35.0
