,High income,Low income,Lower middle income,Upper middle income
clean_cooking_access,99.94516129032259,13.966,42.69111111111111,82.34385964912282
co2_pc,8.548424625302934,0.3299244912150413,1.083838269239092,3.5345732344351686
co2_total_mt,176.06948311688313,9.251433333333333,96.5921695652174,343.93559821428573
control_corruption,0.9198722078947369,-1.0437469319999981,-0.6707143127659563,-0.30412031694915204
dependency_ratio,50.58707472498743,80.94418502209984,65.5920351570764,51.928720120999806
elec_access,99.9364705882353,43.508,79.03829787234044,97.62068965517241
energy_intensity,,,,
energy_use_pc,4314.974063860978,330.1557781815383,609.9747463229718,1641.9499723452063
fdi_net_inflow_pct_gdp,4.942170164002133,4.020278660658604,2.6796741475276646,3.702785680907476
fertility_rate,1.5673151162790697,4.43248,3.185497893617021,2.0409322033898305
fossil_fuel_pct,0.0,0.0,0.0,0.0
gcf_pct_gdp,23.404460323540903,22.35238603931775,23.0190053441575,24.288384991081404
gdp_growth,3.498138003904128,2.8503781605079266,3.3780329180701534,3.4901705795374656
gdp_pc_ppp_const,55076.70616293834,2123.8157020926565,6593.767589066313,17587.084600314898
gini,32.60666666666667,39.4,35.67142857142857,39.01578947368421
gov_effectiveness,1.0065363594594594,-1.1858534119999995,-0.6511618851063822,-0.079925361016949
gross_fixed_capital_pct_gdp,22.82955064603686,21.39424297747082,21.866430583151683,22.44500189482305
gross_savings_pct_gdp,25.468069295058033,17.024594638976243,18.87726611260393,23.729979139463513
health_exp_pct_gdp,7.9764110109375,6.393507204166667,5.298000087234043,6.871971582807018
hightech_exports_pct,16.873812855145953,2.937257097903035,5.54194053041362,10.986801962070649
ict_service_exports_pct,11.203534284915229,12.336384532823457,9.129448886653426,8.077822131069713
internet_users,91.02915937636364,21.864752672842105,55.31164217809524,78.35079493277779
life_expectancy,79.80709639818491,64.20236,67.90954852101713,73.76977346010749
patent_apps_resident,,,,
pm25_exposure,15.20173247535839,31.3087439708506,28.445159259394348,19.838554727181762
political_stability,0.7500711828947368,-1.321176671999998,-0.4426017468085105,0.03236425254237296
population,16101922.232558139,29086482.32,61057347.89361702,51829278.18644068
poverty_215,0.56,38.6,5.271428571428571,3.4894736842105263
regulatory_quality,0.9348535594594596,-1.1113256159999991,-0.7058976531914888,-0.2575303864406777
renew_share,,,,
rnd_exp_pct_gdp,1.9291844680851065,0.3664175,0.299045,0.48995399999999995
rule_of_law,0.9243171644736842,-1.224356935999997,-0.7173645340425524,-0.2418193305084737
secondary_enroll,104.25108252684873,40.19460930683025,74.19617713494394,92.31427227249802
tertiary_enroll,71.61901640915711,7.791560565028497,26.134435960365234,48.54541075997553
trade_pct_gdp,123.68465429623203,53.93999223942003,77.26918297197334,87.8811766197728
unemployment,5.3751428571428574,6.366916666666666,7.346511111111112,8.176365384615384
urban_pct,77.35864989683087,37.331102531726685,49.6129832345675,62.17717643652681
voice_accountability,0.7748463986486487,-1.1220271719999984,-0.6892800340425522,-0.23577183728813447
