,corr_with_log_gdp_pc
gov_effectiveness,0.8412958527396509
regulatory_quality,0.8027080749726694
control_corruption,0.7125604573648129
rule_of_law,0.70435016400011
political_stability,0.5855590162246802
voice_accountability,0.5526506406738724
